t,P,eps,beta_B,cs2,s,S,L,Phi_nu,Qdot_nu
0.0006,0.014559999999999998,1.222,0.011914893617021275,0.1,1.5274999999999999,3.81875e-19,3.6e+41,3.5999999999999997e+33,5.488116360940265e+19
0.000601,0.014589913,1.222285,0.011936588438866549,0.1,1.526901936289819,3.8124892291880623e-19,3.61201e+41,3.61201e+33,5.482630987723047e+19
0.000602,0.014619852,1.22257,0.011958294412589872,0.1,1.5263046192259675,3.806245933231839e-19,3.6240399999999994e+41,3.6240399999999994e+33,5.477151097137275e+19
0.000603,0.014649817000000002,1.222855,0.011980011530394038,0.1,1.5257080474111042,3.8000200433651403e-19,3.6360899999999994e+41,3.636089999999999e+33,5.471676683703055e+19
0.0006039999999999999,0.014679807999999997,1.2231400000000001,0.012001739784489098,0.1,1.5251122194513718,3.7938114911725666e-19,3.6481599999999984e+41,3.6481599999999985e+33,5.4662077419459764e+19
0.000605,0.014709825,1.223425,0.012023479167092383,0.1,1.5245171339563863,3.787620208587295e-19,3.66025e+41,3.66025e+33,5.460744266397094e+19
0.000606,0.014739868,1.2237099999999999,0.012045229670428452,0.1,1.5239227895392278,3.7814461278889027e-19,3.6723600000000005e+41,3.67236e+33,5.455286251592933e+19
0.000607,0.014769936999999999,1.223995,0.012066991286729112,0.1,1.523329184816428,3.775289181701185e-19,3.68449e+41,3.6844899999999994e+33,5.44983369207548e+19
0.0006079999999999999,0.014800031999999996,1.22428,0.012088764008233407,0.1,1.5227363184079603,3.7691493029900015e-19,3.6966399999999986e+41,3.696639999999998e+33,5.4443865823921725e+19
0.000609,0.014830152999999999,1.224565,0.012110547827187613,0.1,1.522144188937228,3.763026425061132e-19,3.7088099999999996e+41,3.7088099999999995e+33,5.438944917095899e+19
0.00061,0.0148603,1.22485,0.012132342735845205,0.1,1.5215527950310561,3.7569204815581627e-19,3.7210000000000004e+41,3.721e+33,5.433508690744998e+19
0.000611,0.014890473,1.225135,0.012154148726466878,0.1,1.5209621353196774,3.7508314064603636e-19,3.7332099999999995e+41,3.7332099999999994e+33,5.42807789790324e+19
0.000612,0.014920672000000001,1.22542,0.012175965791320529,0.1,1.5203722084367244,3.744759134080601e-19,3.74544e+41,3.74544e+33,5.422652533139832e+19
0.0006129999999999999,0.014950897,1.2257049999999998,0.012197793922681234,0.1,1.5197830130192187,3.738703599063269e-19,3.7576899999999984e+41,3.757689999999998e+33,5.417232591029409e+19
0.000614,0.014981148,1.22599,0.012219633112831264,0.1,1.5191945477075588,3.7326647363822077e-19,3.76996e+41,3.7699599999999996e+33,5.4118180661520286e+19
0.000615,0.015011425000000002,1.226275,0.012241483354060062,0.1,1.5186068111455109,3.7266424813386765e-19,3.78225e+41,3.7822499999999996e+33,5.406408953093166e+19
