time,iprog
4.379,1.555
4.37925,1.555
4.3795,1.555
4.37975,1.555
4.38,1.555
4.38025,1.555
4.3805,1.555
4.38075,1.555
4.381,1.555
4.38125,1.555
4.3815,1.555
4.38175,1.555
4.382,1.555
4.38225,1.555
4.3825,1.555
4.38275,1.555
4.383,1.555
4.38325,1.555
4.3835,1.555
4.38375,1.555
4.384,1.555
4.38425,1.555
4.3845,1.555
4.38475,1.555
4.3849993,1.555
4.38525,1.555
4.3855,1.555
4.38575,1.555
4.386,1.555
4.38625,1.555
4.3865,1.555
4.38675,1.555
4.387,1.555
4.38725,1.555
4.3875,1.555
4.38775,1.555
4.388,1.555
4.38825,1.555
4.3885,1.555
4.38875,1.555
4.389,1.555
4.38925,1.555
4.3895,1.555
4.38975,1.555
4.39,1.555
4.39025,1.555
4.3905,1.555
4.39075,1.555
4.391,1.555
4.39125,1.555
4.3915,1.555
4.39175,1.555
4.392,1.555
4.39225,1.555
4.3925,1.555
4.39275,1.555
4.393,1.555
4.39325,1.555
4.3935,1.555
4.39375,1.555
4.394,1.555
4.39425,1.555
4.3945,1.555
4.39475,1.555
4.395,1.555
4.39525,1.555
4.3955,1.555
4.39575,1.555
4.396,1.555
4.39625,1.555
4.3965,1.555
4.39675,1.555
4.397,1.555
4.39725,1.555
4.3975,1.555
4.39775,1.555
4.398,1.555
4.39825,1.555
4.3985,1.555
4.39875,1.555
4.399,1.555
4.39925,1.555
4.3995,1.555
4.39975,1.555
4.4,1.555
4.40025,1.555
4.4005,1.555
4.40075,1.555
4.401,1.555
4.40125,1.555
4.4015,1.555
4.40175,1.555
4.402,1.555
4.40225,1.555
4.4025,1.555
4.40275,1.555
4.403,1.555
4.40325,1.555
4.4035,1.555
4.40375,1.555
4.404,1.555
4.40425,1.555
4.4045,1.555
4.40475,1.555
4.405,1.555
4.40525,1.555
4.4055,1.555
4.40575,1.555
4.406,1.555
4.40625,1.555
4.4065,1.555
4.40675,1.555
4.407,1.555
4.40725,1.555
4.4075,1.555
4.40775,1.555
4.408,1.555
4.40825,1.555
4.4085,1.555
4.40875,1.555
4.409,1.555
4.40925,1.555
4.4095,1.555
4.40975,1.555
4.41,1.555
4.41025,1.555
4.4105,1.555
4.41075,1.555
4.411,1.555
4.41125,1.555
4.4115,1.555
4.41175,1.555
4.412,1.555
4.41225,1.555
4.4125,1.555
4.41275,1.555
4.413,1.555
4.41325,1.555
4.4135,1.555
4.41375,1.555
4.414,1.555
4.41425,1.555
4.4145,1.555
4.41475,1.555
4.415,1.555
4.41525,1.555
4.4155,1.555
4.41575,1.555
4.416,1.555
4.4162493,1.555
4.4165,1.555
4.41675,1.555
4.417,1.555
4.41725,1.555
4.4175,1.555
4.41775,1.555
4.418,1.555
4.41825,1.555
4.4185,1.555
4.41875,1.555
4.419,1.555
4.41925,1.555
4.4195,1.555
4.41975,1.555
4.42,1.555
4.42025,1.555
4.4205,1.555
4.42075,1.555
4.421,1.555
4.42125,1.555
4.4215,1.555
4.42175,1.555
4.422,1.555
4.42225,1.555
4.4225,1.555
4.42275,1.555
4.423,1.555
4.42325,1.555
4.4235,1.555
4.42375,1.555
4.424,1.555
4.42425,1.555
4.4245,1.555
4.42475,1.555
4.425,1.555
4.42525,1.555
4.4255,1.555
4.42575,1.555
4.426,1.555
4.42625,1.555
4.4265,1.555
4.42675,1.555
4.427,1.555
4.42725,1.555
4.4275,1.555
4.42775,1.555
4.428,1.555
4.42825,1.555
4.4285,1.555
4.42875,1.555
4.429,1.555
4.42925,1.555
4.4295,1.555
4.42975,1.555
4.43,1.555
4.43025,1.555
4.4305,1.555
4.43075,1.555
4.431,1.555
4.43125,1.555
4.4315,1.555
4.43175,1.555
4.432,1.555
4.43225,1.555
4.4325,1.555
4.43275,1.555
4.433,1.555
4.43325,1.555
4.4335,1.555
4.43375,1.555
4.434,1.555
4.43425,1.555
4.4345,1.555
4.43475,1.555
4.435,1.555
4.43525,1.555
4.4355,1.555
4.43575,1.555
4.436,1.555
4.43625,1.555
4.4365,1.555
4.43675,1.555
4.437,1.555
4.43725,1.555
4.4375,1.555
4.43775,1.555
4.438,1.555
4.43825,1.555
4.4385,1.555
4.43875,1.555
4.439,1.555
4.43925,1.555
4.4395,1.555
4.43975,1.555
4.44,1.555
4.44025,1.555
4.4405,1.555
4.44075,1.555
4.441,1.555
4.44125,1.555
4.4415,1.555
4.44175,1.555
4.442,1.555
4.44225,1.555
4.4425,1.555
4.44275,1.555
4.443,1.555
4.44325,1.555
4.4435,1.555
4.44375,1.555
4.444,1.555
4.44425,1.555
4.4445,1.555
4.44475,1.555
4.445,1.555
4.44525,1.555
4.4455,1.555
4.44575,1.555
4.446,1.555
4.44625,1.555
4.4465,1.555
4.44675,1.555
4.447,1.555
4.44725,1.555
4.4474993,1.555
4.44775,1.555
4.448,1.555
4.44825,1.555
4.4485,1.555
4.44875,1.555
4.449,1.555
4.44925,1.555
4.4495,1.555
4.44975,1.555
4.45,1.555
4.45025,1.555
4.4505,1.555
4.45075,1.555
4.451,1.555
4.45125,1.555
4.4515,1.555
4.45175,1.555
4.452,1.555
4.45225,1.555
4.4525,1.555
4.45275,1.555
4.453,1.555
4.45325,1.555
4.4535,1.555
4.45375,1.555
4.454,1.555
4.45425,1.555
4.4545,1.555
4.45475,1.555
4.455,1.555
4.45525,1.555
4.4555,1.555
4.45575,1.555
4.456,1.555
4.45625,1.555
4.4565,1.555
4.45675,1.555
4.457,1.555
4.45725,1.555
4.4575,1.555
4.45775,1.555
4.458,1.555
4.45825,1.555
4.4585,1.555
4.45875,1.555
4.459,1.555
4.45925,1.555
4.4595,1.555
4.45975,1.555
4.46,1.555
4.46025,1.555
4.4605,1.555
4.46075,1.555
4.461,1.555
4.46125,1.555
4.4615,1.555
4.46175,1.555
4.462,1.555
4.46225,1.555
4.4625,1.555
4.46275,1.555
4.463,1.555
4.46325,1.555
4.4635,1.555
4.46375,1.555
4.464,1.555
4.46425,1.555
4.4645,1.555
4.46475,1.555
4.465,1.555
4.46525,1.555
4.4655,1.555
4.46575,1.555
4.466,1.555
4.46625,1.555
4.4665,1.555
4.46675,1.555
4.467,1.555
4.46725,1.555
4.4675,1.555
4.46775,1.555
4.468,1.555
4.46825,1.555
4.4685,1.555
4.46875,1.555
4.469,1.555
4.46925,1.555
4.4695,1.555
4.46975,1.555
4.47,1.555
4.47025,1.555
4.4705,1.555
4.47075,1.555
4.471,1.555
4.47125,1.555
4.4715,1.555
4.47175,1.555
4.472,1.555
4.47225,1.555
4.4725,1.555
4.47275,1.555
4.473,1.555
4.47325,1.555
4.4735,1.555
4.47375,1.555
4.474,1.555
4.47425,1.555
4.4745,1.555
4.47475,1.555
4.475,1.555
4.47525,1.555
4.4755,1.555
4.47575,1.555
4.476,1.555
4.47625,1.555
4.4765,1.555
4.47675,1.555
4.477,1.555
4.47725,1.555
4.4775,1.555
4.47775,1.555
4.478,1.555
4.47825,1.555
4.4785,1.555
4.4787493,1.555
4.479,1.555
4.47925,1.555
4.4795,1.555
4.47975,1.555
4.48,1.555
4.48025,1.555
4.4805,1.555
4.48075,1.555
4.481,1.555
4.48125,1.555
4.4815,1.555
4.48175,1.555
4.482,1.555
4.48225,1.555
4.4825,1.555
4.48275,1.555
4.483,1.555
4.48325,1.555
4.4835,1.555
4.48375,1.555
4.484,1.555
4.48425,1.555
4.4845,1.555
4.48475,1.555
4.485,1.555
4.48525,1.555
4.4855,1.555
4.48575,1.555
4.486,1.555
4.48625,1.555
4.4865,1.555
4.48675,1.555
4.487,1.555
4.48725,1.555
4.4875,1.555
4.48775,1.555
4.488,1.555
4.48825,1.555
4.4885,1.555
4.48875,1.555
4.489,1.555
4.48925,1.555
4.4895,1.555
4.48975,1.555
4.49,1.555
4.49025,1.555
4.4905,1.555
4.49075,1.555
4.491,1.555
4.49125,1.555
4.4915,1.555
4.49175,1.555
4.492,1.555
4.49225,1.555
4.4925,1.555
4.49275,1.555
4.493,1.555
4.49325,1.555
4.4935,1.555
4.49375,1.555
4.494,1.555
4.49425,1.555
4.4945,1.555
4.49475,1.555
4.495,1.555
4.49525,1.555
4.4955,1.555
4.49575,1.555
4.496,1.555
4.49625,1.555
4.4965,1.555
4.49675,1.555
4.497,1.555
4.49725,1.555
4.4975,1.555
4.49775,1.555
4.498,1.555
4.49825,1.555
4.4985,1.555
4.49875,1.555
4.499,1.555
4.49925,1.555
4.4995,1.555
4.49975,1.555
4.5,1.555
4.50025,1.555
4.5005,1.555
4.50075,1.555
4.501,1.555
4.50125,1.555
4.5015,1.555
4.50175,1.555
4.502,1.555
4.50225,1.555
4.5025,1.555
4.50275,1.555
4.503,1.555
4.50325,1.555
4.5035,1.555
4.50375,1.555
4.504,1.555
4.50425,1.555
4.5045,1.555
4.50475,1.555
4.505,1.555
4.50525,1.555
4.5055,1.555
4.50575,1.555
4.506,1.555
4.50625,1.555
4.5065,1.555
4.50675,1.555
4.507,1.555
4.50725,1.555
4.5075,1.555
4.50775,1.555
4.508,1.555
4.50825,1.555
4.5085,1.555
4.50875,1.555
4.509,1.555
4.50925,1.555
4.5095,1.555
4.50975,1.555
4.5099993,1.555
4.51025,1.555
4.5105,1.555
4.51075,1.555
4.511,1.555
4.51125,1.555
4.5115,1.555
4.51175,1.555
4.512,1.555
4.51225,1.555
4.5125,1.555
4.51275,1.555
4.513,1.555
4.51325,1.555
4.5135,1.555
4.51375,1.555
4.514,1.555
4.51425,1.555
4.5145,1.555
4.51475,1.555
4.515,1.555
4.51525,1.555
4.5155,1.555
4.51575,1.555
4.516,1.555
4.51625,1.555
4.5165,1.555
4.51675,1.555
4.517,1.555
4.51725,1.555
4.5175,1.555
4.51775,1.555
4.518,1.555
4.51825,1.555
4.5185,1.555
4.51875,1.555
4.519,1.555
4.51925,1.555
4.5195,1.555
4.51975,1.555
4.52,1.555
4.52025,1.555
4.5205,1.555
4.52075,1.555
4.521,1.555
4.52125,1.555
4.5215,1.555
4.52175,1.555
4.522,1.555
4.52225,1.555
4.5225,1.555
4.52275,1.555
4.523,1.555
4.52325,1.555
4.5235,1.555
4.52375,1.555
4.524,1.555
4.52425,1.555
4.5245,1.555
4.52475,1.555
4.525,1.555
4.52525,1.555
4.5255,1.555
4.52575,1.555
4.526,1.555
4.52625,1.555
4.5265,1.555
4.52675,1.555
4.527,1.555
4.52725,1.555
4.5275,1.555
4.52775,1.555
4.528,1.555
4.52825,1.555
4.5285,1.555
4.52875,1.555
4.529,1.555
4.52925,1.555
4.5295,1.555
4.52975,1.555
4.53,1.555
4.53025,1.555
4.5305,1.555
4.53075,1.555
4.531,1.555
4.53125,1.555
4.5315,1.555
4.53175,1.555
4.532,1.555
4.53225,1.555
4.5325,1.555
4.53275,1.555
4.533,1.555
4.53325,1.555
4.5335,1.555
4.53375,1.555
4.534,1.555
4.53425,1.555
4.5345,1.555
4.53475,1.555
4.535,1.555
4.53525,1.555
4.5355,1.555
4.53575,1.555
4.536,1.555
4.53625,1.555
4.5365,1.555
4.53675,1.555
4.537,1.555
4.53725,1.555
4.5375,1.555
4.53775,1.555
4.538,1.555
4.53825,1.555
4.5385,1.555
4.53875,1.555
4.539,1.555
4.53925,1.555
4.5395,1.555
4.53975,1.555
4.54,1.555
4.54025,1.555
4.5405,1.555
4.54075,1.555
4.541,1.555
4.5412493,1.555
4.5415,1.555
4.54175,1.555
4.542,1.555
4.54225,1.555
4.5425,1.555
4.54275,1.555
4.543,1.555
4.54325,1.555
4.5435,1.555
4.54375,1.555
4.544,1.555
4.54425,1.555
4.5445,1.555
4.54475,1.555
4.545,1.555
4.54525,1.555
4.5455,1.555
4.54575,1.555
4.546,1.555
4.54625,1.555
4.5465,1.555
4.54675,1.555
4.547,1.555
4.54725,1.555
4.5475,1.555
4.54775,1.555
4.548,1.555
4.54825,1.555
4.5485,1.555
4.54875,1.555
4.549,1.555
4.54925,1.555
4.5495,1.555
4.54975,1.555
4.55,1.555
4.55025,1.555
4.5505,1.555
4.55075,1.555
4.551,1.555
4.55125,1.555
4.5515,1.555
4.55175,1.555
4.552,1.555
4.55225,1.555
4.5525,1.555
4.55275,1.555
4.553,1.555
4.55325,1.555
4.5535,1.555
4.55375,1.555
4.554,1.555
4.55425,1.555
4.5545,1.555
4.55475,1.555
4.555,1.555
4.55525,1.555
4.5555,1.555
4.55575,1.555
4.556,1.555
4.55625,1.555
4.5565,1.555
4.55675,1.555
4.557,1.555
4.55725,1.555
4.5575,1.555
4.55775,1.555
4.558,1.555
4.55825,1.555
4.5585,1.555
4.55875,1.555
4.559,1.555
4.55925,1.555
4.5595,1.555
4.55975,1.555
4.56,1.555
4.56025,1.555
4.5605,1.555
4.56075,1.555
4.561,1.555
4.56125,1.555
4.5615,1.555
4.56175,1.555
4.562,1.555
4.56225,1.555
4.5625,1.555
4.56275,1.555
4.563,1.555
4.56325,1.555
4.5635,1.555
4.56375,1.555
4.564,1.555
4.56425,1.555
4.5645,1.555
4.56475,1.555
4.565,1.555
4.56525,1.555
4.5655,1.555
4.56575,1.555
4.566,1.555
4.56625,1.555
4.5665,1.555
4.56675,1.555
4.567,1.555
4.56725,1.555
4.5675,1.555
4.56775,1.555
4.568,1.555
4.56825,1.555
4.5685,1.555
4.56875,1.555
4.569,1.555
4.56925,1.555
4.5695,1.555
4.56975,1.555
4.57,1.555
4.57025,1.555
4.5705,1.555
4.57075,1.555
4.571,1.555
4.57125,1.555
4.5715,1.555
4.57175,1.555
4.572,1.555
4.57225,1.555
4.5724993,1.555
4.57275,1.555
4.573,1.555
4.57325,1.555
4.5735,1.555
4.57375,1.555
4.574,1.555
4.57425,1.555
4.5745,1.555
4.57475,1.555
4.575,1.555
4.57525,1.555
4.5755,1.555
4.57575,1.555
4.576,1.555
4.57625,1.555
4.5765,1.555
4.57675,1.555
4.577,1.555
4.57725,1.555
4.5775,1.555
4.57775,1.555
4.578,1.555
4.57825,1.555
4.5785,1.555
4.57875,1.555
4.579,1.555
4.57925,1.555
4.5795,1.555
4.57975,1.555
4.58,1.555
4.58025,1.555
4.5805,1.555
4.58075,1.555
4.581,1.555
4.58125,1.555
4.5815,1.555
4.58175,1.555
4.582,1.555
4.58225,1.555
4.5825,1.555
4.58275,1.555
4.583,1.555
4.58325,1.555
4.5835,1.555
4.58375,1.555
4.584,1.555
4.58425,1.555
4.5845,1.555
4.58475,1.555
4.585,1.555
4.58525,1.555
4.5855,1.555
4.58575,1.555
4.586,1.555
4.58625,1.555
4.5865,1.555
4.58675,1.555
4.587,1.555
4.58725,1.555
4.5875,1.555
4.58775,1.555
4.588,1.555
4.58825,1.555
4.5885,1.555
4.58875,1.555
4.589,1.555
4.58925,1.555
4.5895,1.555
4.58975,1.555
4.59,1.555
4.59025,1.555
4.5905,1.555
4.59075,1.555
4.591,1.555
4.59125,1.555
4.5915,1.555
4.59175,1.555
4.592,1.555
4.59225,1.555
4.5925,1.555
4.59275,1.555
4.593,1.555
4.59325,1.555
4.5935,1.555
4.59375,1.555
4.594,1.555
4.59425,1.555
4.5945,1.555
4.59475,1.555
4.595,1.555
4.59525,1.555
4.5955,1.555
4.59575,1.555
4.596,1.555
4.59625,1.555
4.5965,1.555
4.59675,1.555
4.597,1.555
4.59725,1.555
4.5975,1.555
4.59775,1.555
4.598,1.555
4.59825,1.555
4.5985,1.555
4.59875,1.555
4.599,1.555
4.59925,1.555
4.5995,1.555
4.59975,1.555
4.6,1.555
4.60025,1.555
4.6005,1.555
4.60075,1.555
4.601,1.555
4.60125,1.555
4.6015,1.555
4.60175,1.555
4.602,1.555
4.60225,1.555
4.6025,1.555
4.60275,1.555
4.603,1.555
4.60325,1.555
4.6035,1.555
4.6037493,1.555
4.604,1.555
4.60425,1.555
4.6045,1.555
4.60475,1.555
4.605,1.555
4.60525,1.555
4.6055,1.555
4.60575,1.555
4.606,1.555
4.60625,1.555
4.6065,1.555
4.60675,1.555
4.607,1.555
4.60725,1.555
4.6075,1.555
4.60775,1.555
4.608,1.555
4.60825,1.555
4.6085,1.555
4.60875,1.555
4.609,1.555
4.60925,1.555
4.6095,1.555
4.60975,1.555
4.61,1.555
4.61025,1.555
4.6105,1.555
4.61075,1.555
4.611,1.555
4.61125,1.555
4.6115,1.555
4.61175,1.555
4.612,1.555
4.61225,1.555
4.6125,1.555
4.61275,1.555
4.613,1.555
4.61325,1.555
4.6135,1.555
4.61375,1.555
4.614,1.555
4.61425,1.555
4.6145,1.555
4.61475,1.555
4.615,1.555
4.61525,1.555
4.6155,1.555
4.61575,1.555
4.616,1.555
4.61625,1.555
4.6165,1.555
4.61675,1.555
4.617,1.555
4.61725,1.555
4.6175,1.555
4.61775,1.555
4.618,1.555
4.61825,1.555
4.6185,1.555
4.61875,1.555
4.619,1.555
4.61925,1.555
4.6195,1.555
4.61975,1.555
4.62,1.555
4.62025,1.555
4.6205,1.555
4.62075,1.555
4.621,1.555
4.62125,1.555
4.6215,1.555
4.62175,1.555
4.622,1.555
4.62225,1.555
4.6225,1.555
4.62275,1.555
4.623,1.555
4.62325,1.555
4.6235,1.555
4.62375,1.555
4.624,1.555
4.62425,1.555
4.6245,1.555
4.62475,1.555
4.625,1.555
4.62525,1.555
4.6255,1.555
4.62575,1.555
4.626,1.555
4.62625,1.555
4.6265,1.555
4.62675,1.555
4.627,1.555
4.62725,1.555
4.6275,1.555
4.62775,1.555
4.628,1.555
4.62825,1.555
4.6285,1.555
4.62875,1.555
4.629,1.555
4.62925,1.555
4.6295,1.555
4.62975,1.555
4.63,1.555
4.63025,1.555
4.6305,1.555
4.63075,1.555
4.631,1.555
4.63125,1.555
4.6315,1.555
4.63175,1.555
4.632,1.555
4.63225,1.555
4.6325,1.555
4.63275,1.555
4.633,1.555
4.63325,1.555
4.6335,1.555
4.63375,1.555
4.634,1.555
